Run with command:
--cnn --dataset mr --embedding /home/mahmoudm/pb90_scratch/mahmoud/TextFooler-master/data/embeddings/glove.6B/glove.6B.200d.txt --d 100 --batch_size=32 --max_length=128 --save_path classifiers/wordcnn/mr_trim_len_128_1

Max seq length found = 128
Epoch=0 iter=300 lr=0.001000 train_loss=0.425876 test_acc=0.758201



Test acc not improved from 0.767572633552015



Test acc not improved from 0.788191190253046

Test acc not improved from 0.788191190253046


Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Epoch=20 iter=6300 lr=0.001000 train_loss=0.072709 test_acc=0.786317
Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424

Test acc not improved from 0.7919400187441424


Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Epoch=40 iter=12300 lr=0.001000 train_loss=0.022589 test_acc=0.773196
Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Epoch=60 iter=18300 lr=0.001000 train_loss=0.018204 test_acc=0.777882
Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

Test acc not improved from 0.7985004686035614

test_acc: 0.798500
